kList(4),            Time(us),                Time%,   Calls (Top 364, sorted by time)
-------------------------------------------------------------
('aten::mul', 'aten::empty', 'aten::matmul', 'aten::expand'), 2352.0020000000513, 0.08195018526964908%, 12
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::expand'), 2342.4979999999186, 0.08161903990463085%, 12
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view'), 2325.671000000022, 0.08103274118229818%, 49
('aten::as_strided', 'aten::matmul', 'aten::expand', 'aten::as_strided'), 2281.294999999969, 0.07948655991989696%, 12
('aten::as_strided', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 2266.447999999973, 0.07896924981527198%, 12
('aten::transpose', 'aten::as_strided', 'aten::t', 'aten::transpose'), 2161.874999999739, 0.07532564036076388%, 97
('aten::expand', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 2057.6739999999036, 0.07169499240414265%, 36
('aten::empty', 'aten::copy_', 'aten::view', 'aten::bmm'), 2054.306000000007, 0.07157764206856482%, 24
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::add'), 2044.1379999999263, 0.07122336112669982%, 24
('aten::copy_', 'aten::view', 'aten::bmm', 'aten::empty'), 2022.2289999999894, 0.07045999161890709%, 24
('aten::mul', 'aten::empty', 'aten::add', 'aten::mean'), 1997.8070000000116, 0.0696090623149977%, 12
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::matmul'), 1960.6660000000866, 0.06831496824913642%, 12
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view'), 1951.3179999999702, 0.06798925835096874%, 48
('aten::_softmax', 'aten::empty', 'aten::dropout', 'aten::empty_like'), 1908.385999999924, 0.0664933899996662%, 12
('aten::conj', 'aten::mul', 'aten::empty', 'aten::conj'), 1907.3659999998054, 0.06645785040871993%, 36
('aten::eq', 'aten::empty', 'aten::eq', 'aten::item'), 1880.2959999998866, 0.06551465753930798%, 36
('aten::mul', 'aten::empty', 'aten::add', 'aten::to'), 1821.7580000000926, 0.06347503344659983%, 24
('aten::empty', 'aten::eq', 'aten::empty', 'aten::eq'), 1777.336999999986, 0.06192728426106693%, 36
('aten::as_strided', 'aten::t', 'aten::transpose', 'aten::as_strided'), 1768.8009999997066, 0.06162986666470239%, 98
('aten::empty', 'aten::copy_', 'aten::_unsafe_view', 'aten::view'), 1765.1439999997965, 0.061502446778357166%, 48
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 1717.9939999988273, 0.05985961176565595%, 88
('aten::add', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 1715.9429999998936, 0.05978814931371047%, 13
('aten::neg', 'aten::resize_', 'aten::mul', 'aten::to'), 1583.5470000004862, 0.055175110409444374%, 24
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 1580.7200000004377, 0.055076609994155076%, 148
('aten::empty', 'aten::add', 'aten::t', 'aten::transpose'), 1579.167999999967, 0.05502253406752872%, 24
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::div_'), 1572.1870000000436, 0.05477929692599519%, 48
('aten::add', 'aten::t', 'aten::transpose', 'aten::as_strided'), 1548.2220000000057, 0.05394429075253522%, 24
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::div'), 1474.4810000000061, 0.05137495254110128%, 24
('aten::resize_', 'aten::masked_fill_', 'aten::mean', 'aten::sum'), 1464.941999999748, 0.05104258768031107%, 24
('aten::masked_fill_', 'aten::mean', 'aten::sum', 'aten::empty'), 1454.2029999997467, 0.050668411536068485%, 24
('aten::mul', 'aten::empty', 'aten::add', 'aten::dropout'), 1443.0659999998934, 0.05028036798281638%, 12
('aten::empty', 'aten::copy_', 'aten::masked_fill_', 'aten::softmax'), 1426.87999999996, 0.049716403454398025%, 12
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::t'), 1426.1689999997034, 0.04969163026893825%, 73
('aten::_unsafe_view', 'aten::view', 'aten::add_', 'aten::view'), 1411.3919999999353, 0.04917675915585647%, 36
('aten::empty', 'aten::add', 'aten::mean', 'aten::sum'), 1407.6899999999969, 0.04904777134638046%, 12
('aten::add', 'aten::mean', 'aten::sum', 'aten::empty'), 1372.9149999999936, 0.0478361151944077%, 12
('aten::expand', 'aten::as_strided', 'aten::to', 'aten::div'), 1350.7189999998664, 0.047062745821313826%, 24
('aten::view', 'aten::expand', 'aten::as_strided', 'aten::contiguous'), 1345.4209999999093, 0.04687814900483363%, 24
('aten::empty_strided', 'aten::copy_', 'aten::div', 'aten::empty'), 1340.2589999999973, 0.04669829080048061%, 24
('aten::conj', 'aten::neg', 'aten::empty', 'aten::neg'), 1327.5560000002151, 0.04625568352231397%, 24
('aten::as_strided', 'aten::to', 'aten::div', 'aten::to'), 1323.724999999511, 0.0461222009998392%, 24
('aten::to', 'aten::div', 'aten::to', 'aten::empty_strided'), 1318.654999999737, 0.045945548327223015%, 24
('aten::empty', 'aten::add', 'aten::dropout', 'aten::empty_like'), 1296.9779999999228, 0.04519026233423708%, 12
('aten::div', 'aten::empty', 'aten::div', 'aten::empty'), 1290.6090000001132, 0.04496834894727279%, 24
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::t'), 1282.8769999999258, 0.044698944910830526%, 24
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::transpose'), 1274.595999999612, 0.044410412212200316%, 24
('aten::div', 'aten::empty', 'aten::conj', 'aten::neg'), 1268.1890000001877, 0.04418717480127317%, 24
('aten::copy_', 'aten::empty', 'aten::conj', 'aten::mul'), 1246.1030000005267, 0.0434176381291795%, 12
('aten::view', 'aten::add_', 'aten::view', 'aten::transpose'), 1237.7279999999555, 0.04312583021333585%, 36
('aten::bmm', 'aten::empty', 'aten::resize_', 'aten::_unsafe_view'), 1202.084999999969, 0.04188393056632666%, 24
('aten::empty', 'aten::resize_', 'aten::sub', 'aten::empty'), 1199.2529999999558, 0.04178525593735749%, 24
('aten::neg', 'aten::resize_', 'aten::mul', 'aten::empty'), 1165.2580000000307, 0.040600777119637305%, 24
('aten::view', 'aten::bmm', 'aten::empty', 'aten::resize_'), 1150.3599999999842, 0.040081690035463476%, 24
('aten::empty', 'aten::sum', 'aten::empty', 'aten::fill_'), 1124.287999999593, 0.03917327021678037%, 72
('aten::eq', 'aten::item', 'aten::_local_scalar_dense', 'aten::to'), 1118.5209999999734, 0.038972332157025794%, 36
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 1097.7949999998216, 0.03825018160617118%, 48
('aten::empty', 'aten::fill_', 'aten::div_', 'aten::to'), 1093.699000000426, 0.038107465758644286%, 48
('aten::mul', 'aten::empty', 'aten::conj', 'aten::div'), 1087.5660000000498, 0.03789377525740765%, 24
('aten::copy_', 'aten::resize_', 'aten::masked_fill_', 'aten::mean'), 1079.350999999966, 0.03760754217937582%, 24
