kList(4),            Time(us),                Time%,   Calls (Top 320, sorted by time)
-------------------------------------------------------------
('aten::transpose', 'aten::as_strided', 'aten::transpose', 'aten::as_strided'), 6411.712000001302, 0.03504111017543994%, 36
('aten::empty', 'aten::view', 'aten::view', 'aten::t'), 5973.180999998629, 0.03264446274548108%, 31
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::layer_norm'), 5771.301999999987, 0.031541159246967945%, 2
('aten::empty', 'aten::resize_', 'aten::_unsafe_view', 'aten::view'), 5695.877999998891, 0.031128954098965315%, 36
('aten::_unsafe_view', 'aten::view', 'aten::view', 'aten::transpose'), 4725.215000000317, 0.025824113656012452%, 18
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::resize_'), 4377.802999998239, 0.023925447251729123%, 18
('aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 4176.280999999333, 0.022824094819689875%, 18
('aten::as_strided_', 'aten::embedding', 'aten::reshape', 'aten::clone'), 4160.939, 0.022740248147804405%, 1
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::transpose'), 4071.104000000596, 0.022249284403239908%, 18
('aten::resize_', 'aten::as_strided_', 'aten::embedding', 'aten::reshape'), 4046.3779999999997, 0.022114152555424746%, 1
('aten::bitwise_and', 'aten::resize_', 'aten::as_strided_', 'aten::embedding'), 4017.087, 0.021954072196520822%, 1
('aten::expand', 'aten::as_strided', 'aten::view', 'aten::expand'), 3945.7800000010902, 0.021564367162476655%, 18
('aten::view', 'aten::embedding', 'aten::reshape', 'aten::clone'), 3889.9820000000764, 0.021259421484067467%, 1
('aten::resize_', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 3846.174999995157, 0.02102000868548457%, 36
('aten::empty', 'aten::resize_', 'aten::transpose', 'aten::as_strided'), 3841.8179999971762, 0.020996196930221138%, 36
('aten::empty', 'aten::empty', 'aten::empty', 'aten::view'), 3814.886999998049, 0.020849014377713478%, 32
('aten::item', 'aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided'), 3809.204000000216, 0.020817955804113938%, 18
('aten::view', 'aten::view', 'aten::embedding', 'aten::reshape'), 3797.2349999998696, 0.02075254315805281%, 1
('aten::resize_', 'aten::_unsafe_view', 'aten::view', 'aten::transpose'), 3689.7699999978795, 0.020165228427591955%, 18
('aten::empty', 'aten::view', 'aten::view', 'aten::embedding'), 3628.5669999998063, 0.019830743493458997%, 1
('aten::_unsafe_view', 'aten::view', 'aten::transpose', 'aten::as_strided'), 3514.9149999987567, 0.019209615742603207%, 18
('aten::view', 'aten::masked_fill_', 'aten::view', 'aten::slice'), 3501.9799999995976, 0.019138923740203574%, 2
('aten::masked_fill_', 'aten::view', 'aten::slice', 'aten::as_strided'), 3500.045999999804, 0.019128354097170317%, 2
('aten::empty', 'aten::empty', 'aten::view', 'aten::view'), 3487.4469999989287, 0.019059498392620434%, 32
('aten::_unsafe_view', 'aten::view', 'aten::masked_fill_', 'aten::view'), 3455.2459999996554, 0.0188835143826191%, 2
('aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::masked_fill_'), 3425.0189999999047, 0.01871831862253754%, 2
('aten::view', 'aten::view', 'aten::transpose', 'aten::as_strided'), 3341.7099999988495, 0.01826302059173982%, 18
('aten::copy_', 'aten::empty_strided', 'aten::transpose', 'aten::as_strided'), 3278.374000001735, 0.01791687844530996%, 18
('aten::empty_strided', 'aten::copy_', 'aten::empty_strided', 'aten::transpose'), 3268.44500000259, 0.01786261475054296%, 18
('aten::expand', 'aten::as_strided', 'aten::expand', 'aten::as_strided'), 3193.618999999235, 0.01745367777550345%, 18
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty_strided'), 3151.6050000022005, 0.01722406403071786%, 18
('aten::as_strided', 'aten::transpose', 'aten::as_strided', 'aten::transpose'), 3141.8010000003123, 0.01717048348246084%, 18
('aten::as_strided', 'aten::transpose', 'aten::as_strided', 'aten::unsqueeze'), 3127.4280000005238, 0.017091932562434475%, 18
('aten::transpose', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 3116.167000000569, 0.017030389258292936%, 18
('aten::index_select', 'aten::empty', 'aten::resize_', 'aten::select'), 3021.9859999998785, 0.016515673875341138%, 2
('aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::index_select'), 3011.109999999867, 0.016456234662496204%, 2
('aten::_unsafe_view', 'aten::view', 'aten::index_select', 'aten::empty'), 3008.068999999878, 0.01643961507383672%, 2
('aten::view', 'aten::index_select', 'aten::empty', 'aten::resize_'), 2978.60899999983, 0.016278611100830766%, 2
('aten::as_strided', 'aten::view', 'aten::expand', 'aten::as_strided'), 2954.1740000009595, 0.016145069618135173%, 18
('aten::empty_strided', 'aten::copy_', 'aten::resize_', 'aten::as_strided_'), 2652.0249999979715, 0.014493773303125772%, 18
('aten::empty', 'aten::empty', 'aten::empty', 'aten::empty'), 2029.6119999969378, 0.011092179078734863%, 32
('aten::empty', 'aten::empty', 'aten::empty', 'aten::resize_'), 1959.9989999951795, 0.010711732046381565%, 32
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::zero_'), 1953.4109999956563, 0.010675727491931984%, 32
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::empty'), 799.8880000016775, 0.004371525660551408%, 6
('aten::as_strided_', 'aten::reshape', 'aten::clone', 'aten::empty_like'), 655.5680000001912, 0.0035827920086702035%, 2
('aten::eq', 'aten::empty', 'aten::eq', 'aten::resize_'), 621.8780000007482, 0.0033986703572624647%, 3
('aten::resize_', 'aten::as_strided_', 'aten::reshape', 'aten::clone'), 619.6050000001051, 0.0033862480208488367%, 2
('aten::ne', 'aten::empty', 'aten::ne', 'aten::resize_'), 616.7440000001561, 0.0033706121631855287%, 3
('aten::empty', 'aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty'), 599.1119999997318, 0.0032742502469565865%, 1
('aten::__and__', 'aten::bitwise_and', 'aten::empty', 'aten::bitwise_and'), 597.6720000000005, 0.003266380398990364%, 1
('aten::nll_loss', 'aten::nll_loss_forward', 'aten::empty', 'aten::empty'), 585.0409999992698, 0.0031973498089308766%, 1
('aten::sum', 'aten::empty', 'aten::as_strided', 'aten::to'), 567.4819999989122, 0.0031013868502728836%, 3
('aten::eq', 'aten::resize_', 'aten::as_strided_', 'aten::reshape'), 554.7130000002307, 0.0030316020664610255%, 2
('aten::empty', 'aten::copy_', 'aten::empty', 'aten::_unsafe_view'), 535.6510000000749, 0.002927424953987857%, 4
('aten::copy_', 'aten::empty', 'aten::_unsafe_view', 'aten::view'), 530.4269999999651, 0.0028988748944155764%, 4
