kList(4),            Time(us),                Time%,   Calls (Top 206, sorted by time)
-------------------------------------------------------------
('aten::resize_', 'aten::t', 'aten::transpose', 'aten::as_strided'), 18.171999999999798, 0.232706180018947%, 1
('aten::empty', 'aten::resize_', 'aten::t', 'aten::transpose'), 17.911999999999807, 0.2293766837166729%, 1
('aten::to', 'aten::_nnz', 'aten::sparse_dim', 'aten::select'), 17.89600000000064, 0.2291717916365436%, 3
('aten::zero_', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 17.672000000000025, 0.22630330251457645%, 1
('aten::empty', 'aten::resize_', 'aten::copy_', 'aten::resize_'), 17.65400000000045, 0.22607279892442445%, 3
('aten::slice', 'aten::as_strided', 'aten::_indices', 'aten::_values'), 17.389000000001943, 0.2226792738471256%, 3
('aten::empty_strided', 'aten::copy_', 'aten::ones_like', 'aten::empty_like'), 17.36700000000019, 0.22239754723691074%, 1
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::copy_'), 17.11200000000099, 0.2191320797096905%, 3
('aten::copy_', 'aten::ones_like', 'aten::empty_like', 'aten::empty_strided'), 17.095000000000027, 0.2189143818745295%, 1
('aten::copy_', 'aten::zeros', 'aten::empty', 'aten::zero_'), 16.034000000000106, 0.20532747581024996%, 1
('aten::resize_', 'aten::as_strided', 'aten::copy_', 'aten::_coalesced_'), 15.765000000001237, 0.20188272771291152%, 3
('aten::threshold', 'aten::empty', 'aten::zeros', 'aten::empty'), 15.487999999999829, 0.19833553357547057%, 1
('aten::slice', 'aten::as_strided', 'aten::to', 'aten::to'), 14.743000000000166, 0.1887952460939584%, 1
('aten::ones_like', 'aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 14.411000000000058, 0.18454373543105304%, 1
('aten::empty', 'aten::zeros', 'aten::empty', 'aten::zero_'), 13.519999999999754, 0.17313380771825565%, 1
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 12.669999999996435, 0.1622489159607782%, 6
('aten::empty', 'aten::zero_', 'aten::slice', 'aten::as_strided'), 12.317999999999756, 0.1577412901977418%, 1
('aten::empty', 'aten::resize_', 'aten::transpose', 'aten::as_strided'), 10.353000000000065, 0.132577981605558%, 1
('aten::resize_', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 10.292000000000371, 0.1317968305500284%, 1
('aten::view', 'aten::reshape', 'aten::view', 'aten::empty'), 9.774999999999864, 0.1251762552104997%, 1
('aten::resize_', 'aten::resize_', 'aten::empty', 'aten::empty'), 8.3799999999992, 0.1073122269732892%, 3
('aten::as_strided', 'aten::empty', 'aten::empty', 'aten::resize_'), 8.223999999998341, 0.10531452919191368%, 3
('aten::sparse_dim', 'aten::_nnz', 'aten::to', 'aten::_nnz'), 7.880000000000109, 0.10090934946892736%, 3
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::empty'), 7.814999999998236, 0.10007697539333484%, 3
('aten::_values', 'aten::sparse_dim', 'aten::_nnz', 'aten::to'), 7.7960000000020955, 0.09983366604821807%, 3
('aten::_nnz', 'aten::to', 'aten::_nnz', 'aten::sparse_dim'), 7.405000000001564, 0.0948266158397912%, 3
('aten::_nnz', 'aten::add_', 'aten::add_', 'aten::add_'), 7.270000000000437, 0.09309783891359592%, 1
('aten::empty', 'aten::empty', 'aten::empty', 'aten::_values'), 6.550999999998112, 0.08389050106227709%, 3
('aten::as_strided', 'aten::_indices', 'aten::_values', 'aten::sparse_dim'), 6.25800000000163, 0.0801384148447593%, 3
('aten::empty', 'aten::empty', 'aten::empty', 'aten::empty'), 6.003999999998996, 0.07688575307250384%, 3
('aten::add_', 'aten::_nnz', 'aten::add_', 'aten::add_'), 6.0, 0.07683453005248171%, 1
('aten::empty', 'aten::empty', 'aten::_values', 'aten::_indices'), 5.940999999998439, 0.07607899050694564%, 3
('aten::_indices', 'aten::_values', 'aten::sparse_dim', 'aten::_nnz'), 5.767000000002554, 0.07385078913547637%, 3
('aten::is_coalesced', 'aten::_nnz', 'aten::_indices', 'aten::_values'), 5.743000000003576, 0.07354345101527954%, 3
('aten::sparse_dim', 'aten::empty', 'aten::empty', 'aten::empty'), 5.516999999999371, 0.07064935038324886%, 3
('aten::_nnz', 'aten::_indices', 'aten::_values', 'aten::sparse_dim'), 5.512000000001535, 0.07058532160823286%, 3
('aten::resize_', 'aten::empty', 'aten::to', 'aten::detach_'), 5.3449999999998, 0.06844676052174989%, 1
('aten::empty', 'aten::_values', 'aten::_indices', 'aten::_values'), 5.3309999999992215, 0.06826747995162002%, 3
('aten::dense_dim', 'aten::sparse_dim', 'aten::empty', 'aten::empty'), 5.287999999999556, 0.06771683248624819%, 3
('aten::_indices', 'aten::_values', 'aten::sparse_dim', 'aten::dense_dim'), 4.887000000000626, 0.06258172472775436%, 3
('aten::_values', 'aten::sparse_dim', 'aten::dense_dim', 'aten::_nnz'), 4.645999999999276, 0.05949553777062906%, 3
('aten::empty', 'aten::resize_', 'aten::empty', 'aten::to'), 4.266999999999825, 0.054642156622321%, 1
Total time: 7808.989000000012us
