kList(3),            Time(us),                Time%,   Calls (Top 300, sorted by calls)
-------------------------------------------------------------
('aten::squeeze', 'aten::as_strided', 'aten::permute'), 14.847999999999956, 0.00013843613264273737%, 1
('aten::unsqueeze', 'aten::as_strided', 'aten::zeros'), 224.808, 0.002096009570793951%, 1
('aten::as_strided', 'aten::zeros', 'aten::empty'), 231.20400000000063, 0.0021556430234059556%, 1
('aten::copy_', 'aten::fill_', 'aten::zeros'), 608.232, 0.005670884013305338%, 1
('aten::fill_', 'aten::zeros', 'aten::empty'), 390.6149999999998, 0.0036419201207060193%, 1
('aten::copy_', 'aten::fill_', 'aten::add'), 442.3139999999994, 0.0041239385488779515%, 1
('aten::fill_', 'aten::add', 'aten::to'), 210.72299999999905, 0.0019646873099996966%, 1
('aten::empty_strided', 'aten::copy_', 'aten::view'), 14.677999999999884, 0.00013685112843009757%, 1
('aten::copy_', 'aten::view', 'aten::slice'), 23.539999999999964, 0.0002194764656795556%, 1
('aten::view', 'aten::slice', 'aten::as_strided'), 20.61999999999898, 0.0001922516874389218%, 1
('aten::log', 'aten::add_', 'aten::add'), 466.0889999999781, 0.004345606049792427%, 1
('aten::add_', 'aten::add', 'aten::view'), 450.3979999999865, 0.004199310160965916%, 1
('aten::slice', 'aten::as_strided', 'aten::unbind'), 66.31599999964237, 0.0006183008197929882%, 1
('aten::as_strided', 'aten::unbind', 'aten::select'), 65.5239999992773, 0.0006109165648695245%, 1
('aten::select', 'aten::as_strided', 'aten::stack'), 113.15699999965727, 0.0010550254217003522%, 1
('aten::as_strided', 'aten::stack', 'aten::unsqueeze'), 111.25700000021607, 0.0010373106687407722%, 1
('aten::empty', 'aten::resize_', 'aten::unsqueeze'), 8.502999999560416, 7.927818129043271e-05%, 1
('aten::resize_', 'aten::unsqueeze', 'aten::as_strided'), 8.424999999813735, 7.855094406581895e-05%, 1
('aten::log', 'aten::add_', 'aten::squeeze'), 10.171000000089407, 9.4829869687612e-05%, 1
('aten::add_', 'aten::squeeze', 'aten::as_strided'), 8.81900000013411, 8.222442442045191e-05%, 1
('aten::squeeze', 'aten::as_strided', 'aten::mean'), 47.16800000006333, 0.0004397734041285979%, 1
