kList(4),            Time(us),                Time%,   Calls (Top 359, sorted by calls)
-------------------------------------------------------------
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::t'), 177.35799999999938, 0.0016536069243837958%, 4
('aten::threshold', 'aten::empty', 'aten::t', 'aten::transpose'), 110.70799999999929, 0.001032192037487346%, 4
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::add'), 165.81799999999976, 0.00154601310900818%, 4
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::permute'), 54.864000000000146, 0.0005115274771896002%, 4
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::contiguous'), 3666.282000000002, 0.034182778910134846%, 4
('aten::slice', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 3715.007000000004, 0.03463706908813981%, 4
('aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 3724.611000000001, 0.034726612502599695%, 4
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view'), 3679.188, 0.03430310870053671%, 4
('aten::empty', 'aten::copy_', 'aten::view', 'aten::transpose'), 3667.132999999998, 0.03419071325475219%, 4
('aten::copy_', 'aten::view', 'aten::transpose', 'aten::as_strided'), 3634.241000000001, 0.03388404291026913%, 4
('aten::empty_strided', 'aten::exp', 'aten::empty', 'aten::sum'), 3439.7489999989048, 0.03207068620834947%, 4
('aten::empty_strided', 'aten::exp', 'aten::empty', 'aten::mul'), 4104.938000000082, 0.03827261189777923%, 4
('aten::empty', 'aten::fill_', 'aten::view', 'aten::add'), 111.26800000015646, 0.0010374132278363284%, 4
('aten::as_strided', 'aten::permute', 'aten::as_strided', 'aten::unsqueeze'), 44.72700000000066, 0.00041701460834535445%, 3
('aten::permute', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 43.45200000000045, 0.0004051270767505592%, 3
('aten::as_strided', 'aten::permute', 'aten::as_strided', 'aten::reshape'), 53.172000000000025, 0.0004957520234967441%, 3
