kList(5),            Time(us),                Time%,   Calls (Top 407, sorted by time)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::add'), 1144.4239999977872, 0.010670099182598746%, 25
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::fill_', 'aten::detach'), 1117.4439999999995, 0.010418549690519356%, 2
('aten::log', 'aten::add_', 'aten::slice', 'aten::as_strided', 'aten::slice'), 1100.086000000585, 0.01025671143686017%, 26
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 1087.2949999999973, 0.010137453855184886%, 10
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 1072.8930000085384, 0.01000317602779141%, 26
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 1054.2949999999978, 0.009829776566849064%, 10
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 1048.981000000611, 0.00978023119987852%, 26
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 1047.135000004433, 0.009763019918875734%, 26
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 1038.972999997437, 0.009686921069495444%, 26
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 1013.876999999997, 0.009452937153517013%, 10
('aten::slice', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::slice'), 993.7960000002713, 0.009265710861790125%, 52
