kList(5),            Time(us),                Time%,   Calls (Top 482, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::resize_', 'aten::linear', 'aten::t', 'aten::transpose'), 36464.19900000014, 0.8244168624257527%, 3
('aten::permute', 'aten::as_strided', 'aten::add', 'aten::conv1d', 'aten::convolution'), 36356.773999999976, 0.8219880971196447%, 1
('aten::convolution', 'aten::_convolution', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 36339.26700000011, 0.8215922824190289%, 1
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::view'), 32125.409000000218, 0.7263214226075313%, 3
('aten::as_strided', 'aten::relu', 'aten::threshold', 'aten::empty', 'aten::conv1d'), 31504.658000000003, 0.7122869009177%, 6
('aten::glu_backward', 'aten::resize_as_', 'aten::resize_', 'aten::narrow', 'aten::slice'), 31421.364999999525, 0.7104037345351772%, 12
('aten::empty', 'aten::glu_backward', 'aten::resize_as_', 'aten::resize_', 'aten::narrow'), 31370.693999999552, 0.7092581169710576%, 12
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 30097.547000003513, 0.680473613706815%, 16
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 29954.56700000493, 0.6772409875633347%, 15
('aten::as_strided', 'aten::reshape', 'aten::view', 'aten::addmm_', 'aten::zero_'), 29497.199000000488, 0.6669003822058003%, 24
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 29433.959999999963, 0.665470615492335%, 5
('aten::squeeze', 'aten::as_strided', 'aten::glu', 'aten::empty', 'aten::glu'), 27987.129999999815, 0.6327593238206445%, 12
('aten::glu', 'aten::empty', 'aten::glu', 'aten::resize_', 'aten::narrow'), 27952.83200000006, 0.6319838824199633%, 12
('aten::as_strided', 'aten::glu', 'aten::empty', 'aten::glu', 'aten::resize_'), 27887.950999999994, 0.6305169918281502%, 12
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 27521.373000000138, 0.6222290520712893%, 4
('aten::reshape', 'aten::view', 'aten::addmm_', 'aten::zero_', 'aten::fill_'), 25811.456999999704, 0.5835696649904996%, 20
('aten::select', 'aten::as_strided', 'aten::reshape', 'aten::view', 'aten::addmm_'), 25805.346000000834, 0.5834315017623602%, 24
('aten::fill_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 25770.584000000264, 0.5826455698138178%, 4
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 24969.500000000466, 0.5645339102701842%, 5
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::_convolution_nogroup', 'aten::_nnpack_available'), 24549.465999999986, 0.5550373870531917%, 6
('aten::thnn_conv2d_forward', 'aten::empty', 'aten::empty', 'aten::empty', 'aten::view'), 24420.737000000023, 0.5521269609038837%, 6
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::copy_', 'aten::addmm_'), 23222.782000000065, 0.5250424690046593%, 24
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 21106.288000001572, 0.47719078459437836%, 66
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 21019.92800000077, 0.47523827659496376%, 66
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 21012.497000005562, 0.4750702695670091%, 66
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 20969.6030000085, 0.4741004817240218%, 66
