kList(4),            Time(us),                Time%,   Calls (Top 434, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::rsub', 'aten::empty', 'aten::gather'), 4645.5819999999985, 0.10503168152909481%, 1
('aten::rsub', 'aten::empty', 'aten::gather', 'aten::empty'), 4644.362999999999, 0.10500412123206769%, 1
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::resize_'), 4501.18699999986, 0.10176706373644619%, 6
('aten::empty_like', 'aten::empty', 'aten::resize_', 'aten::resize_'), 4498.10899999988, 0.10169747342122962%, 6
('aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::conv1d'), 4402.749999999993, 0.09954150757692395%, 1
('aten::zero_', 'aten::fill_', 'aten::resize_', 'aten::select'), 4396.887000000104, 0.09940895136571226%, 6
('aten::empty', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 4381.349999999977, 0.09905767627554464%, 6
('aten::sub', 'aten::sgn_', 'aten::sgn', 'aten::mul_'), 4243.536999999953, 0.09594187052148162%, 1
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::copy_'), 4235.9470000000365, 0.0957702686720692%, 24
('aten::fill_', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 4025.229000000283, 0.0910061581971229%, 5
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 4020.4189999991795, 0.09089740919898429%, 89
('aten::empty', 'aten::conj', 'aten::mul', 'aten::empty'), 3866.680000001914, 0.08742153347742468%, 248
('aten::empty', 'aten::sub', 'aten::sgn_', 'aten::sgn'), 3780.603999999992, 0.08547544641675064%, 1
('aten::sub', 'aten::empty', 'aten::abs_', 'aten::abs'), 3753.3760000000475, 0.08485985021703478%, 1
('aten::slice', 'aten::as_strided', 'aten::broadcast_tensors', 'aten::l1_loss'), 3560.213999999978, 0.08049266228072663%, 1
('aten::as_strided', 'aten::broadcast_tensors', 'aten::l1_loss', 'aten::empty'), 3555.537000000011, 0.08038692027154283%, 1
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::narrow'), 3524.5769999978147, 0.07968694751024587%, 302
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::add_'), 3489.6699999996345, 0.0788977372655564%, 84
('aten::l1_loss_backward', 'aten::div', 'aten::to', 'aten::empty_strided'), 3482.5299999999697, 0.07873630943884222%, 1
('aten::as_strided_', 'aten::squeeze', 'aten::as_strided', 'aten::relu'), 3461.9459999999817, 0.07827092703194602%, 6
('aten::copy_', 'aten::expand', 'aten::as_strided', 'aten::gather'), 3405.935999999998, 0.07700460034081391%, 1
('aten::expand', 'aten::as_strided', 'aten::gather', 'aten::empty'), 3401.9680000000008, 0.07691488806960503%, 1
('aten::as_strided', 'aten::gather', 'aten::empty', 'aten::resize_'), 3399.582000000002, 0.07686094314039524%, 1
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 3324.3690000029746, 0.07516045698762996%, 84
('aten::conj', 'aten::mul', 'aten::empty', 'aten::conj'), 3313.4840000019176, 0.07491435868314297%, 248
