kList(3),            Time(us),                Time%,   Calls (Top 367, sorted by calls)
-------------------------------------------------------------
('aten::empty', 'aten::random_', 'aten::mul'), 37.402000000000044, 0.00084561954832596%, 1
('aten::random_', 'aten::mul', 'aten::to'), 46.5990000000001, 0.0010535539632223266%, 1
('aten::mul', 'aten::to', 'aten::empty_strided'), 40.36000000000007, 0.0009124967908249764%, 1
('aten::empty', 'aten::sub', 'aten::to'), 23.500999999999976, 0.0005313326828834913%, 1
('aten::sub', 'aten::to', 'aten::empty_strided'), 23.40300000000002, 0.0005291170068304486%, 1
('aten::copy_', 'aten::empty', 'aten::mul'), 5634.418, 0.1273882146473358%, 1
('aten::mul', 'aten::empty', 'aten::randint'), 5654.082, 0.12783279683006085%, 1
('aten::empty', 'aten::randint', 'aten::empty'), 24.214000000000055, 0.0005474528566163526%, 1
('aten::expand', 'aten::as_strided', 'aten::rsub'), 2416.3509999999997, 0.05463113312702474%, 1
('aten::as_strided', 'aten::rsub', 'aten::empty'), 2423.7299999999996, 0.05479796449024321%, 1
